,b1,a2,b2,RatioTotalArea,frac,Nc
28581,0.1,0.2,0.028571428571428574,0.08751579535000137,0.5,6.885860000000001
6682,0.07142857142857142,0.2,0.022222222222222227,0.10728788244759427,0.05,4.44329
44821,0.001,0.25,0.125,0.0691935781953152,0.7,8.02202
14894,0.0125,0.45,0.15,0.05811946409141117,0.2,4.88655
14777,0.0125,0.3,0.003,0.016273449945595132,0.2,6.1666
29824,0.08333333333333333,0.25,0.016666666666666666,0.0837758040957278,0.4,6.03754
1197,0.25,0.25,0.05,0.3573561643458389,0.1,2.76111
58288,0.0625,0.15,0.015,0.007979645340118075,0.99,47.48201896
23627,0.016666666666666666,0.025,0.0008333333333333334,0.0013711742935980462,0.95,103.439
41825,0.0025,0.005,0.0016666666666666668,0.0019765853778835785,0.5,11.1457
45239,0.0005,0.005,5e-06,0.00023567442689067242,0.7,18.7465
30995,0.08333333333333333,0.4,0.06666666666666668,0.10262536001726658,0.6,5.2235
34236,0.03333333333333333,0.3,0.02,0.038955748904513435,0.4,6.6519699999999995
2816,0.16666666666666666,0.25,0.0025,0.2488075931796166,0.05,3.29631
21246,0.016666666666666666,0.3,0.03,0.028064894372068817,0.9,11.2743
37192,0.0125,0.5,0.5,0.4025165587411921,0.5,2.20181
30513,0.08333333333333333,0.1,0.01,0.05424483315198377,0.6,9.873330000000001
14184,0.01,0.3,0.03333333333333333,0.017278759594743863,0.1,5.73557
43846,0.001,0.05,0.0033333333333333327,0.000942477796076938,0.6,13.9535
16108,0.005,0.01,0.0033333333333333327,0.0074665185400317425,0.05,5.80645
51562,0.125,0.25,0.08333333333333333,0.0719948316447661,0.95,11.3671
59250,0.00625,0.3,0.00375,0.0035971235883603125,0.99,15.01992444
12008,0.016666666666666666,0.005,5e-05,0.024870981110827358,0.05,5.52059
47017,0.5,0.1,0.02,0.1621061809252333,0.8,6.93877
47670,0.25,0.15,0.001875,0.040065123810312325,0.9,19.2665
43497,0.0025,0.25,0.03125,0.01629701189049705,0.6,9.637960000000001
6119,0.08333333333333333,0.2,0.028571428571428574,0.1083101467237624,0.2,4.93767
24188,0.0125,0.5,0.03333333333333333,0.0507236313860852,0.95,4.9097
33857,0.05,0.01,0.00125,0.03928954312395735,0.5,9.18183
18163,0.001,0.4,0.02,0.003926990816987243,0.1,5.78678
27554,0.125,0.3,0.003,0.09958848711879643,0.5,5.7712
30558,0.07142857142857142,0.2,0.06666666666666668,0.0840750033960697,0.4,6.32051
6473,0.07142857142857142,0.025,0.000125,0.10098074561309044,0.1,4.7188099999999995
57626,0.05,0.45,0.00045,0.004531354703721582,0.95,6.765219999999999
18116,0.001,0.45,0.045,0.007775441817634739,0.1,5.60582
42369,0.0005,0.35,0.05,0.02246238747316702,0.4,6.53609
47168,0.5,0.35,0.0007,0.15769538483959322,0.8,4.71914
54741,0.05,0.15,0.01875,0.015806138038373645,0.9,27.0534
53886,0.025,0.35,0.35,0.31573006168577417,0.8,3.15003
60020,0.001,0.15,0.075,0.03500519614262427,0.99,27.12688593
59128,0.005,0.3,0.01,0.009409069997501431,0.99,14.37529155
61226,0.01,0.5,0.0625,0.09735010235311373,0.99,4.39377965
42660,0.005,0.15,0.015,0.007382742735936014,0.6,12.3032
28898,0.1,0.025,0.003125,0.07866253480277569,0.5,7.71351
61348,0.1,0.35,0.006999999999999999,0.00919072930807694,0.99,10.81221443
33774,0.03333333333333333,0.005,6.25e-05,0.031416319234979624,0.4,8.158669999999999
57274,0.0005,0.3,0.0075,0.005811946409141117,0.8,11.3556
60943,0.125,0.35,0.00035,0.002344492057557725,0.99,11.23659735
56301,0.005,0.1,0.025,0.007853981633974483,0.8,23.8106
29316,0.08333333333333333,0.45,0.03,0.08665559736151845,0.5,4.86003
20777,0.0005,0.01,5e-05,0.0005502499532762524,0.3,8.03318
23748,0.025,0.1,0.02,0.00793252145031423,0.95,57.742
60703,0.01,0.005,5e-05,0.00015785717686125328,0.99,538.7470927
59869,0.00625,0.2,0.05,0.031199942040963637,0.99,21.74880986
50515,0.07142857142857142,0.005,0.0016666666666666668,0.022460891476665308,0.8,21.2479
56343,0.05555555555555555,0.35,0.11666666666666665,0.12623093815048986,0.95,6.3121800000000015
50219,0.08333333333333333,0.2,0.04,0.04628613176288962,0.8,12.7983
13735,0.016666666666666666,0.2,0.05,0.02775073510670984,0.3,6.88673
1003,0.5,0.4,0.0008,0.6285195926477883,0.2,1.71177
43961,0.001,0.2,0.028571428571428574,0.01139949334302582,0.6,10.9849
27999,0.125,0.5,0.125,0.19634954084936207,0.7,3.56964
17393,0.0025,0.15,0.03,0.004948008429403924,0.1,6.12717
61636,0.025,0.4,0.004,0.005368981844984957,0.99,8.556689337
40842,0.01,0.45,0.09,0.08262388678941156,0.6,4.94838
40059,0.016666666666666666,0.025,0.00025,0.007867726101833939,0.7,17.4466
50984,0.08333333333333333,0.45,0.15,0.20394172309553746,0.9,3.91755
13357,0.016666666666666666,0.1,0.005,0.02125811028929093,0.2,6.51499
49961,0.08333333333333333,0.025,0.0027777777777777783,0.026354471705114367,0.8,20.3479
18527,0.001,0.05,0.025,0.0018064157758141321,0.1,6.23177
18537,0.001,0.05,0.01,0.0015707963267948967,0.1,6.2370800000000015
26849,0.16666666666666666,0.01,0.0001,0.15708088931655104,0.4,5.26007
41425,0.001,0.3,0.042857142857142864,0.01709924001453873,0.4,7.138489999999999
54065,0.016666666666666666,0.01,0.00125,0.0052674036825188855,0.8,26.2139
53582,0.16666666666666666,0.05,0.01,0.004173082241518444,0.99,221.325
20513,0.0005,0.5,0.16666666666666666,0.052988196090547834,0.2,4.75805
27668,0.125,0.2,0.0004,0.09830043413082462,0.5,6.50887
41772,0.00625,0.35,0.04375,0.03279037332184346,0.6,7.1596100000000025
2080,0.25,0.45,0.0009,0.3144137343639201,0.2,2.85027
46945,0.5,0.025,0.0027777777777777783,0.07873616588059418,0.9,14.3154
26891,0.16666666666666666,0.35,0.0017499999999999998,0.07988677418997145,0.7,6.2965800000000005
37222,0.025,0.2,0.1,0.053407075111026485,0.6,8.68108
36695,0.0125,0.05,0.00625,0.01217367153266045,0.4,8.86632
190,0.5,0.25,0.03125,0.7093127163183205,0.1,1.58244
33132,0.0625,0.4,0.05714285714285715,0.07971791358484101,0.7,5.7676099999999995
25934,0.25,0.01,0.0011111111111111113,0.23563341165325044,0.4,4.20287
11652,0.03333333333333333,0.4,0.05714285714285715,0.0562494684642744,0.2,5.1685099999999995
35521,0.05555555555555555,0.005,0.0001,0.026181038337343702,0.7,14.9625
49135,0.1,0.005,0.0008333333333333334,0.031426398511409895,0.8,19.3
60159,0.0025,0.025,2.5e-05,4.121376862428114e-05,0.99,527.7692556
12499,0.016666666666666666,0.05,0.0125,0.02375829444277281,0.1,5.82223
45223,0.0005,0.005,0.00125,0.0002493639168786899,0.7,18.7605
16381,0.005,0.15,0.016666666666666666,0.007853981633974483,0.1,6.06761
34971,0.05,0.15,0.00375,0.03247621405648449,0.6,10.5431
50965,0.25,0.025,0.004166666666666668,0.004250967559388693,0.99,241.64
17480,0.0025,0.1,0.00125,0.0035735616434583897,0.1,6.18003
15153,0.00625,0.4,0.0008,0.008936260303136167,0.1,5.69842
52333,0.05,0.05,0.0016666666666666668,0.015917402778188282,0.8,22.6067
47968,0.25,0.05,0.0005,0.039340594004578185,0.9,24.6476
6001,0.08333333333333333,0.025,0.005,0.0917475954542119,0.3,5.82791
15369,0.00625,0.15,0.075,0.011093749057988956,0.05,5.7186900000000005
45489,0.0005,0.35,0.05833333333333333,0.0609730774184219,0.95,8.126560000000001
10014,0.03333333333333333,0.45,0.045,0.05348561492736623,0.1,4.96685
51812,0.07142857142857142,0.5,0.05555555555555555,0.08975979010256553,0.9,4.46965
17907,0.005,0.5,0.0005,0.005733406592801372,0.3,5.54625
42327,0.01,0.15,0.01,0.008011061266653973,0.7,15.3394
9020,0.05555555555555555,0.3,0.00375,0.062146811340388075,0.3,5.72509
50671,0.07142857142857142,0.05,0.05,0.028723132832820963,0.8,20.1567
31348,0.0625,0.4,0.005,0.05222897786593031,0.5,5.78848
31259,0.07142857142857142,0.01,0.0025,0.044927018941086604,0.6,10.6212
36758,0.016666666666666666,0.01,0.00125,0.013109604344042408,0.5,10.4863
58898,0.0025,0.01,0.0002,4.549026162398025e-05,0.99,554.9427488
5326,0.08333333333333333,0.2,0.013333333333333334,0.11864748255057453,0.1,4.47432
2343,0.16666666666666666,0.1,0.0005,0.23563515698250245,0.1,3.5007699999999997
55952,0.005,0.005,0.0025,0.0016022122533307945,0.8,27.5771
5877,0.08333333333333333,0.025,0.005,0.10479829493599953,0.2,5.0910400000000005
36258,0.03333333333333333,0.3,0.05,0.049218284906240084,0.6,7.52665
13463,0.0125,0.15,0.0015,0.01868854929804228,0.05,5.6001
46770,0.5,0.2,0.05,0.10681415022205296,0.9,9.8337
16836,0.00625,0.45,0.045,0.025957409300285658,0.3,5.52626
37053,0.03333333333333333,0.2,0.06666666666666668,0.0450294947014537,0.7,10.6972
43743,0.005,0.5,0.0005,0.0029059732045705593,0.7,5.59219
48295,0.16666666666666666,0.35,0.0017499999999999998,0.02791174173020631,0.9,8.989289999999997
43733,0.005,0.5,0.025,0.02984513020910303,0.7,5.18813
31657,0.0625,0.4,0.008,0.06292610085140356,0.4,5.41654
34280,0.03333333333333333,0.45,0.0225,0.04208425158871327,0.5,5.4924
16731,0.005,0.5,0.016666666666666666,0.008770279491271505,0.05,5.499709999999999
28815,0.125,0.45,0.00045,0.07892151984715598,0.6,4.9429300000000005
47661,0.5,0.3,0.015,0.05270021676396881,0.95,10.1462
45176,0.0005,0.05,0.0005,0.00029059732045705593,0.7,18.5797
53435,0.0625,0.025,0.000625,0.009861655689159208,0.9,43.5676
42871,0.005,0.5,0.01,0.012566370614359171,0.6,5.43609
34577,0.05555555555555555,0.3,0.00375,0.028653942994616908,0.7,8.993219999999997
46413,0.0025,0.5,0.0025,0.003926990816987243,0.95,5.57376
21237,0.03333333333333333,0.3,0.03333333333333333,0.03351032163829113,0.9,10.9501
9928,0.05,0.01,0.00025,0.06283342386812266,0.2,5.73604
18665,0.0025,0.025,5e-05,0.003142378051753191,0.2,6.966489999999999
23602,0.016666666666666666,0.025,0.0035714285714285718,0.0015754713158627398,0.95,103.491
53756,0.05555555555555555,0.25,0.025,0.02639810493641424,0.9,14.4302
29438,0.08333333333333333,0.3,0.15,0.1361356816555577,0.5,5.17681
28205,0.125,0.3,0.0015,0.05989446394068941,0.7,7.73345
47851,0.25,0.3,0.06,0.12377875055143785,0.8,6.63068
53944,0.025,0.45,0.05,0.06440264939859076,0.8,5.44067
7110,0.0625,0.4,0.13333333333333333,0.1051124542013585,0.1,4.42935
52641,0.0625,0.5,0.0025,0.01335176877775662,0.9,5.41404
22350,0.0125,0.3,0.0375,0.03377212102609028,0.9,10.899000000000001
16304,0.005,0.05,0.0025,0.007480917506360696,0.05,5.8025
54944,0.01,0.005,0.000625,0.0031494466352237674,0.8,26.9652
57116,0.0025,0.25,0.25,0.1578650308428871,0.8,5.56607
34071,0.05,0.005,0.0003333333333333333,0.0392725261637504,0.5,9.17775
8264,0.05555555555555555,0.25,0.016666666666666666,0.07984881327874058,0.1,4.88622
8220,0.05555555555555555,0.3,0.0075,0.07924667468680252,0.1,4.84131
46839,0.5,0.25,0.008333333333333333,0.014333516482003438,0.99,19.0425
42707,0.005,0.2,0.01,0.006911503837897546,0.6,11.2902
7716,0.0625,0.3,0.0075,0.09361946107697584,0.05,4.54766
